name,html_url,git_url,forks,stars,language,size,csharp_percent,csharp_lines,commit_count,default_branch,repo_path,status,time_taken
swordjoinmagic/MoBaDemo,https://github.com/swordjoinmagic/MoBaDemo,git://github.com/swordjoinmagic/MoBaDemo.git,173,600,C#,682192,0.8143807321929875,1716489,110,master,D:\DataCollection\repos\swordjoinmagic_MoBaDemo,,111
RoundBearChoi/2.5D_Platformer_Unity_URP,https://github.com/RoundBearChoi/2.5D_Platformer_Unity_URP,git://github.com/RoundBearChoi/2.5D_Platformer_Unity_URP.git,61,170,C#,679018,0.770115890413077,298835,883,clean_import,D:\DataCollection\repos\RoundBearChoi_2.5D_Platformer_Unity_URP,,30
microsoftgraph/msgraph-sdk-powershell,https://github.com/microsoftgraph/msgraph-sdk-powershell,git://github.com/microsoftgraph/msgraph-sdk-powershell.git,141,593,C#,673471,0.8698262662258522,4053794,3659,dev,D:\DataCollection\repos\microsoftgraph_msgraph-sdk-powershell,,8
IanPhilips/UnityOculusAndroidVRBrowser,https://github.com/IanPhilips/UnityOculusAndroidVRBrowser,git://github.com/IanPhilips/UnityOculusAndroidVRBrowser.git,54,204,C#,670157,0.8690277290576683,3260234,131,master,D:\DataCollection\repos\IanPhilips_UnityOculusAndroidVRBrowser,,65
Ginger-Automation/Ginger,https://github.com/Ginger-Automation/Ginger,git://github.com/Ginger-Automation/Ginger.git,54,79,C#,669604,0.7214060149146124,19714945,15394,master,D:\DataCollection\repos\Ginger-Automation_Ginger,,45
X-Sharp/XSharpPublic,https://github.com/X-Sharp/XSharpPublic,git://github.com/X-Sharp/XSharpPublic.git,27,80,C#,666077,0.6365938281848071,158746830,16756,main,D:\DataCollection\repos\X-Sharp_XSharpPublic,,21
jorgejgnz/HPTK-Sample,https://github.com/jorgejgnz/HPTK-Sample,git://github.com/jorgejgnz/HPTK-Sample.git,42,318,C#,665963,0.964924503076148,7512467,37,master,D:\DataCollection\repos\jorgejgnz_HPTK-Sample,,87
madskristensen/PhotoGallery,https://github.com/madskristensen/PhotoGallery,git://github.com/madskristensen/PhotoGallery.git,64,169,C#,662752,0.8566097113231527,42463,120,master,D:\DataCollection\repos\madskristensen_PhotoGallery,,1
dotnet-architecture/eShopOnContainers,https://github.com/dotnet-architecture/eShopOnContainers,git://github.com/dotnet-architecture/eShopOnContainers.git,10435,24380,C#,660217,0.6358433413738431,721473,4337,dev,D:\DataCollection\repos\dotnet-architecture_eShopOnContainers,,3
Windows-Readiness/WinDevCamp,https://github.com/Windows-Readiness/WinDevCamp,git://github.com/Windows-Readiness/WinDevCamp.git,76,115,C#,652547,0.9337589918634572,1889198,87,master,D:\DataCollection\repos\Windows-Readiness_WinDevCamp,,47
ColinLeung-NiloCat/UnityURP-MobileScreenSpacePlanarReflection,https://github.com/ColinLeung-NiloCat/UnityURP-MobileScreenSpacePlanarReflection,git://github.com/ColinLeung-NiloCat/UnityURP-MobileScreenSpacePlanarReflection.git,142,845,C#,647948,0.7545724876777058,18524,136,master,D:\DataCollection\repos\ColinLeung-NiloCat_UnityURP-MobileScreenSpacePlanarReflection,,97
HouraiTeahouse/FantasyCrescendo,https://github.com/HouraiTeahouse/FantasyCrescendo,git://github.com/HouraiTeahouse/FantasyCrescendo.git,28,97,C#,646409,0.8320544353276648,547699,505,develop,D:\DataCollection\repos\HouraiTeahouse_FantasyCrescendo,,143
sharpbrowser/SharpBrowser,https://github.com/sharpbrowser/SharpBrowser,git://github.com/sharpbrowser/SharpBrowser.git,341,691,C#,643861,0.778458211698562,179999,121,master,D:\DataCollection\repos\sharpbrowser_SharpBrowser,,7
cxun/WeChatHistory,https://github.com/cxun/WeChatHistory,git://github.com/cxun/WeChatHistory.git,87,197,C#,641716,0.9964303873652316,192050,29,master,D:\DataCollection\repos\cxun_WeChatHistory,,11
YAFNET/YAFNET,https://github.com/YAFNET/YAFNET,git://github.com/YAFNET/YAFNET.git,219,479,C#,633605,0.7928696981490593,12722518,9147,master,D:\DataCollection\repos\YAFNET_YAFNET,,5
sswelm/KSP-Interstellar-Extended,https://github.com/sswelm/KSP-Interstellar-Extended,git://github.com/sswelm/KSP-Interstellar-Extended.git,79,94,C#,626258,0.95866478831293,2935677,4417,master,D:\DataCollection\repos\sswelm_KSP-Interstellar-Extended,,36
airar-dev/Unity-AR-ColorMapping,https://github.com/airar-dev/Unity-AR-ColorMapping,git://github.com/airar-dev/Unity-AR-ColorMapping.git,32,87,C#,622490,1.0,15498,173,master,D:\DataCollection\repos\airar-dev_Unity-AR-ColorMapping,,3
googleapis/google-api-dotnet-client,https://github.com/googleapis/google-api-dotnet-client,git://github.com/googleapis/google-api-dotnet-client.git,579,1226,C#,619009,0.999621338316062,125470848,2834,main,D:\DataCollection\repos\googleapis_google-api-dotnet-client,,15
ME3Tweaks/LegendaryExplorer,https://github.com/ME3Tweaks/LegendaryExplorer,git://github.com/ME3Tweaks/LegendaryExplorer.git,24,109,C#,618544,0.8105774003120004,14789899,6176,Beta,D:\DataCollection\repos\ME3Tweaks_LegendaryExplorer,,56
AlexWan/OsEngine,https://github.com/AlexWan/OsEngine,git://github.com/AlexWan/OsEngine.git,313,561,C#,613803,0.9920871933024572,10810667,2053,master,D:\DataCollection\repos\AlexWan_OsEngine,,4
CartBlanche/MonoGame-Samples,https://github.com/CartBlanche/MonoGame-Samples,git://github.com/CartBlanche/MonoGame-Samples.git,356,651,C#,611126,0.9797576869688842,5746174,312,master,D:\DataCollection\repos\CartBlanche_MonoGame-Samples,,70
martin-nikolov/Telerik-Academy,https://github.com/martin-nikolov/Telerik-Academy,git://github.com/martin-nikolov/Telerik-Academy.git,153,198,C#,604209,0.6243289866099193,7693701,1551,master,,failed: Failed to clone martin-nikolov/Telerik-Academy!,284
Sandrem/FlyCasual,https://github.com/Sandrem/FlyCasual,git://github.com/Sandrem/FlyCasual.git,140,446,C#,601339,0.9979866594889614,6851881,5375,development,D:\DataCollection\repos\Sandrem_FlyCasual,,63
hhblaze/DBreeze,https://github.com/hhblaze/DBreeze,git://github.com/hhblaze/DBreeze.git,57,473,C#,599383,0.999785310650537,5653468,296,master,D:\DataCollection\repos\hhblaze_DBreeze,,12
FlameskyDexive/Legends-Of-Heroes,https://github.com/FlameskyDexive/Legends-Of-Heroes,git://github.com/FlameskyDexive/Legends-Of-Heroes.git,81,340,C#,597310,0.9440673006793608,2632813,250,master,D:\DataCollection\repos\FlameskyDexive_Legends-Of-Heroes,,19
itext/itext7-dotnet,https://github.com/itext/itext7-dotnet,git://github.com/itext/itext7-dotnet.git,280,1357,C#,596917,0.9538740802265284,25981192,5038,develop,D:\DataCollection\repos\itext_itext7-dotnet,,60
gregsdennis/json-everything,https://github.com/gregsdennis/json-everything,git://github.com/gregsdennis/json-everything.git,68,534,C#,594547,0.9666180295629004,1676048,2220,master,D:\DataCollection\repos\gregsdennis_json-everything,,1
tModLoader/tModLoader,https://github.com/tModLoader/tModLoader,git://github.com/tModLoader/tModLoader.git,1735,3574,C#,592389,0.982794422272946,5074202,5304,1.4.4,D:\DataCollection\repos\tModLoader_tModLoader,,6
lofcz/SimplexRpgEngine,https://github.com/lofcz/SimplexRpgEngine,git://github.com/lofcz/SimplexRpgEngine.git,19,151,C#,590816,0.9947070722649992,670727,1201,master,D:\DataCollection\repos\lofcz_SimplexRpgEngine,,9
ispysoftware/iSpy,https://github.com/ispysoftware/iSpy,git://github.com/ispysoftware/iSpy.git,524,1178,C#,590034,0.9999951747246008,7253437,259,master,D:\DataCollection\repos\ispysoftware_iSpy,,15
thesecretlab/unity-game-development-cookbook-1e,https://github.com/thesecretlab/unity-game-development-cookbook-1e,git://github.com/thesecretlab/unity-game-development-cookbook-1e.git,20,80,C#,584809,0.978619556419412,723010,82,master,D:\DataCollection\repos\thesecretlab_unity-game-development-cookbook-1e,,33
hcmlab/nova,https://github.com/hcmlab/nova,git://github.com/hcmlab/nova.git,31,161,C#,582172,0.8481167422083732,1947159,1639,master,D:\DataCollection\repos\hcmlab_nova,,9
Generalkidd/Yugioh-For-HoloLens,https://github.com/Generalkidd/Yugioh-For-HoloLens,git://github.com/Generalkidd/Yugioh-For-HoloLens.git,26,89,C#,579602,0.9347775009766928,2725298,64,master,D:\DataCollection\repos\Generalkidd_Yugioh-For-HoloLens,,70
mono/mono,https://github.com/mono/mono,git://github.com/mono/mono.git,3830,10586,C#,579024,0.890427265649383,277490592,122592,main,D:\DataCollection\repos\mono_mono,,27
Warewolf-ESB/Warewolf,https://github.com/Warewolf-ESB/Warewolf,git://github.com/Warewolf-ESB/Warewolf.git,120,262,C#,578442,0.8830193244763762,36966955,26743,develop,D:\DataCollection\repos\Warewolf-ESB_Warewolf,,16
microsoft/PowerApps-Samples,https://github.com/microsoft/PowerApps-Samples,git://github.com/microsoft/PowerApps-Samples.git,1535,1192,C#,578369,0.9974071707681432,464299190,1133,master,D:\DataCollection\repos\microsoft_PowerApps-Samples,,51
skyteks/WarKingdoms,https://github.com/skyteks/WarKingdoms,git://github.com/skyteks/WarKingdoms.git,24,172,C#,577774,0.9682415970995416,335426,241,master,D:\DataCollection\repos\skyteks_WarKingdoms,,72
hermitdave/FrequencyWords,https://github.com/hermitdave/FrequencyWords,git://github.com/hermitdave/FrequencyWords.git,535,1003,C#,560264,0.9742879508640936,16180,27,master,D:\DataCollection\repos\hermitdave_FrequencyWords,,99
wieslawsoltes/Core2D,https://github.com/wieslawsoltes/Core2D,git://github.com/wieslawsoltes/Core2D.git,98,820,C#,541885,0.9940602659039418,1382542,10715,master,D:\DataCollection\repos\wieslawsoltes_Core2D,,1
alelievr/Mixture,https://github.com/alelievr/Mixture,git://github.com/alelievr/Mixture.git,109,954,C#,525659,0.7211091048600552,819503,733,master,D:\DataCollection\repos\alelievr_Mixture,,18
dotnetcore/aspnetcore-doc-cn,https://github.com/dotnetcore/aspnetcore-doc-cn,git://github.com/dotnetcore/aspnetcore-doc-cn.git,135,521,C#,524314,0.8738007245555329,1965509,3154,dev,D:\DataCollection\repos\dotnetcore_aspnetcore-doc-cn,,5
farmerbriantee/AgOpenGPS,https://github.com/farmerbriantee/AgOpenGPS,git://github.com/farmerbriantee/AgOpenGPS.git,224,479,C#,522784,0.9984568201302776,1129684,1433,master,D:\DataCollection\repos\farmerbriantee_AgOpenGPS,,4
QuantConnect/Lean,https://github.com/QuantConnect/Lean,git://github.com/QuantConnect/Lean.git,2958,7899,C#,519734,0.9349374854215484,23175509,12058,master,D:\DataCollection\repos\QuantConnect_Lean,,27
microsoft/SmartKG,https://github.com/microsoft/SmartKG,git://github.com/microsoft/SmartKG.git,70,335,C#,512353,0.6648946094744258,238759,185,master,D:\DataCollection\repos\microsoft_SmartKG,,6
liangxiegame/QFramework,https://github.com/liangxiegame/QFramework,git://github.com/liangxiegame/QFramework.git,721,3573,C#,511954,0.9932289262218996,11099370,200,master,D:\DataCollection\repos\liangxiegame_QFramework,,17
bitzhuwei/CSharpGL,https://github.com/bitzhuwei/CSharpGL,git://github.com/bitzhuwei/CSharpGL.git,245,548,C#,511555,0.9229051917590008,4399753,7787,master,D:\DataCollection\repos\bitzhuwei_CSharpGL,,47
AlexAlbala/Alter-Native,https://github.com/AlexAlbala/Alter-Native,git://github.com/AlexAlbala/Alter-Native.git,38,157,C#,510004,0.9962251866016762,19759223,493,master,D:\DataCollection\repos\AlexAlbala_Alter-Native,,3
maxim-saplin/CrossPlatformDiskTest,https://github.com/maxim-saplin/CrossPlatformDiskTest,git://github.com/maxim-saplin/CrossPlatformDiskTest.git,31,388,C#,508232,1.0,352911,230,master,D:\DataCollection\repos\maxim-saplin_CrossPlatformDiskTest,,2
EnoxSoftware/CVVTuberExample,https://github.com/EnoxSoftware/CVVTuberExample,git://github.com/EnoxSoftware/CVVTuberExample.git,14,80,C#,506333,1.0,121523,12,master,D:\DataCollection\repos\EnoxSoftware_CVVTuberExample,,2
ultraleap/UnityPlugin,https://github.com/ultraleap/UnityPlugin,git://github.com/ultraleap/UnityPlugin.git,160,489,C#,505933,0.987301733646736,3833664,6344,develop,D:\DataCollection\repos\ultraleap_UnityPlugin,,8
MLJejuCamp2017/DRL_based_SelfDrivingCarControl,https://github.com/MLJejuCamp2017/DRL_based_SelfDrivingCarControl,git://github.com/MLJejuCamp2017/DRL_based_SelfDrivingCarControl.git,100,288,C#,505300,0.6847905964752556,3038748,66,master,D:\DataCollection\repos\MLJejuCamp2017_DRL_based_SelfDrivingCarControl,,48
BMW-InnovationLab/BMW-Labeltool-Lite,https://github.com/BMW-InnovationLab/BMW-Labeltool-Lite,git://github.com/BMW-InnovationLab/BMW-Labeltool-Lite.git,41,304,C#,501406,0.6507390281247257,467079,183,master,D:\DataCollection\repos\BMW-InnovationLab_BMW-Labeltool-Lite,,29
MicrosoftDocs/mslearn-developer-tools-power-platform,https://github.com/MicrosoftDocs/mslearn-developer-tools-power-platform,git://github.com/MicrosoftDocs/mslearn-developer-tools-power-platform.git,127,152,C#,495912,1.0,32307,286,master,D:\DataCollection\repos\MicrosoftDocs_mslearn-developer-tools-power-platform,,47
Implem/Implem.Pleasanter,https://github.com/Implem/Implem.Pleasanter,git://github.com/Implem/Implem.Pleasanter.git,70,457,C#,494686,0.9435516286023844,16683360,515,main,D:\DataCollection\repos\Implem_Implem.Pleasanter,,4
tooll3/t3,https://github.com/tooll3/t3,git://github.com/tooll3/t3.git,155,2909,C#,491351,0.9082296606217922,8632643,3725,master,D:\DataCollection\repos\tooll3_t3,,40
mapbox/mapbox-unity-sdk,https://github.com/mapbox/mapbox-unity-sdk,git://github.com/mapbox/mapbox-unity-sdk.git,208,693,C#,491338,0.9491624574596824,2196902,1196,develop,D:\DataCollection\repos\mapbox_mapbox-unity-sdk,,6
Flash3001/Xamarin.Swift,https://github.com/Flash3001/Xamarin.Swift,git://github.com/Flash3001/Xamarin.Swift.git,18,84,C#,491106,0.9723790322580644,110929,63,master,D:\DataCollection\repos\Flash3001_Xamarin.Swift,,22
space-wizards/space-station-14,https://github.com/space-wizards/space-station-14,git://github.com/space-wizards/space-station-14.git,1853,1534,C#,489642,0.9519905791546104,15390548,19697,master,D:\DataCollection\repos\space-wizards_space-station-14,,34
xamarin/xamarin-forms-samples,https://github.com/xamarin/xamarin-forms-samples,git://github.com/xamarin/xamarin-forms-samples.git,7597,4310,C#,488002,0.9925370367506738,5327382,2920,main,D:\DataCollection\repos\xamarin_xamarin-forms-samples,,30
linq2db/linq2db,https://github.com/linq2db/linq2db,git://github.com/linq2db/linq2db.git,442,2717,C#,485404,0.989020990408911,23278952,6080,master,D:\DataCollection\repos\linq2db_linq2db,,4
Ninjajie/Fusion,https://github.com/Ninjajie/Fusion,git://github.com/Ninjajie/Fusion.git,59,410,C#,485209,0.9886593316712936,125711,47,master,D:\DataCollection\repos\Ninjajie_Fusion,,75
Mongo2Go/Mongo2Go,https://github.com/Mongo2Go/Mongo2Go,git://github.com/Mongo2Go/Mongo2Go.git,70,363,C#,484923,0.9953639349863712,128176,281,master,D:\DataCollection\repos\Mongo2Go_Mongo2Go,,13
Yecats/GameDevTutorials,https://github.com/Yecats/GameDevTutorials,git://github.com/Yecats/GameDevTutorials.git,47,246,C#,484271,0.9729556151378184,3085935,116,master,D:\DataCollection\repos\Yecats_GameDevTutorials,,64
CapsuleEndoscope/VirtualCapsuleEndoscopy,https://github.com/CapsuleEndoscope/VirtualCapsuleEndoscopy,git://github.com/CapsuleEndoscope/VirtualCapsuleEndoscopy.git,35,111,C#,482360,0.7385017168834938,351210,245,master,D:\DataCollection\repos\CapsuleEndoscope_VirtualCapsuleEndoscopy,,89
dilmerv/UnityARFoundationEssentials,https://github.com/dilmerv/UnityARFoundationEssentials,git://github.com/dilmerv/UnityARFoundationEssentials.git,223,742,C#,478924,0.6674415483781596,154181,72,master,D:\DataCollection\repos\dilmerv_UnityARFoundationEssentials,,53
Cysharp/MagicOnion,https://github.com/Cysharp/MagicOnion,git://github.com/Cysharp/MagicOnion.git,402,3351,C#,477897,0.993557447035436,3353624,1628,main,D:\DataCollection\repos\Cysharp_MagicOnion,,9
episerver/Foundation,https://github.com/episerver/Foundation,git://github.com/episerver/Foundation.git,117,117,C#,475072,0.6141824148537275,2067303,667,main,D:\DataCollection\repos\episerver_Foundation,,20
mbaske/angry-ai,https://github.com/mbaske/angry-ai,git://github.com/mbaske/angry-ai.git,20,117,C#,474634,0.9750294346627192,254236,17,master,D:\DataCollection\repos\mbaske_angry-ai,,51
rebus-org/Rebus,https://github.com/rebus-org/Rebus,git://github.com/rebus-org/Rebus.git,348,2126,C#,472009,0.9975677026793522,1512574,3387,master,D:\DataCollection\repos\rebus-org_Rebus,,1
Autodesk/synthesis,https://github.com/Autodesk/synthesis,git://github.com/Autodesk/synthesis.git,52,133,C#,471049,0.7500537330908027,2690574,8905,master,D:\DataCollection\repos\Autodesk_synthesis,,5
yhuse/SunnyUI,https://github.com/yhuse/SunnyUI,git://github.com/yhuse/SunnyUI.git,366,1660,C#,468796,1.0,3784324,1426,master,D:\DataCollection\repos\yhuse_SunnyUI,,2
ppy/osu-stream,https://github.com/ppy/osu-stream,git://github.com/ppy/osu-stream.git,31,154,C#,464428,0.949452773195454,29696793,2763,master,D:\DataCollection\repos\ppy_osu-stream,,15
dotnet/docfx,https://github.com/dotnet/docfx,git://github.com/dotnet/docfx.git,818,3623,C#,461559,0.8461256946665169,3132777,4790,main,D:\DataCollection\repos\dotnet_docfx,,7
VixenLights/Vixen,https://github.com/VixenLights/Vixen,git://github.com/VixenLights/Vixen.git,24,81,C#,456006,0.7184209069557171,14171976,7012,master,D:\DataCollection\repos\VixenLights_Vixen,,10
erpnet/ErpNet.FP,https://github.com/erpnet/ErpNet.FP,git://github.com/erpnet/ErpNet.FP.git,58,92,C#,453794,0.9275855784779844,402100,781,master,D:\DataCollection\repos\erpnet_ErpNet.FP,,2
Unity-Technologies/EntityComponentSystemSamples,https://github.com/Unity-Technologies/EntityComponentSystemSamples,git://github.com/Unity-Technologies/EntityComponentSystemSamples.git,1417,6209,C#,453493,0.9749314657659004,2125996,94,master,D:\DataCollection\repos\Unity-Technologies_EntityComponentSystemSamples,,47
ServiceStack/ServiceStack,https://github.com/ServiceStack/ServiceStack,git://github.com/ServiceStack/ServiceStack.git,1628,5268,C#,452580,0.8042994899631233,30194216,14707,main,D:\DataCollection\repos\ServiceStack_ServiceStack,,5
RickStrahl/Westwind.AspnetCore.LiveReload,https://github.com/RickStrahl/Westwind.AspnetCore.LiveReload,git://github.com/RickStrahl/Westwind.AspnetCore.LiveReload.git,42,457,C#,450647,0.9212916930308236,40769,214,master,D:\DataCollection\repos\RickStrahl_Westwind.AspnetCore.LiveReload,,1
PlayFab/UnitySDK,https://github.com/PlayFab/UnitySDK,git://github.com/PlayFab/UnitySDK.git,113,314,C#,450011,1.0,8160008,776,master,D:\DataCollection\repos\PlayFab_UnitySDK,,2
zhongkaifu/Seq2SeqSharp,https://github.com/zhongkaifu/Seq2SeqSharp,git://github.com/zhongkaifu/Seq2SeqSharp.git,34,167,C#,447507,0.9897285215148992,11558211,523,master,D:\DataCollection\repos\zhongkaifu_Seq2SeqSharp,,58
MediaPortal/MediaPortal-2,https://github.com/MediaPortal/MediaPortal-2,git://github.com/MediaPortal/MediaPortal-2.git,113,341,C#,446703,0.9037104242562886,24540215,13702,master,D:\DataCollection\repos\MediaPortal_MediaPortal-2,,14
Hyperparticle/nodulus,https://github.com/Hyperparticle/nodulus,git://github.com/Hyperparticle/nodulus.git,81,427,C#,441456,0.8441574117041714,1755438,207,master,D:\DataCollection\repos\Hyperparticle_nodulus,,90
ppy/osu-framework,https://github.com/ppy/osu-framework,git://github.com/ppy/osu-framework.git,380,1438,C#,440223,0.9948824942270742,7019673,23990,master,D:\DataCollection\repos\ppy_osu-framework,,27
bcgit/bc-csharp,https://github.com/bcgit/bc-csharp,git://github.com/bcgit/bc-csharp.git,494,1353,C#,440206,0.9992588126447683,17823026,2582,master,D:\DataCollection\repos\bcgit_bc-csharp,,91
SubtitleEdit/subtitleedit,https://github.com/SubtitleEdit/subtitleedit,git://github.com/SubtitleEdit/subtitleedit.git,769,6053,C#,437885,0.9371605885881016,15739330,18280,main,D:\DataCollection\repos\SubtitleEdit_subtitleedit,,4
CypherCore/CypherCore,https://github.com/CypherCore/CypherCore,git://github.com/CypherCore/CypherCore.git,146,279,C#,433655,1.0,2420641932,3950,master,D:\DataCollection\repos\CypherCore_CypherCore,,59
JamesBear/vive_ik_demo,https://github.com/JamesBear/vive_ik_demo,git://github.com/JamesBear/vive_ik_demo.git,77,306,C#,431354,0.9697370139322352,809423,15,master,D:\DataCollection\repos\JamesBear_vive_ik_demo,,50
SM64-TAS-ABC/STROOP,https://github.com/SM64-TAS-ABC/STROOP,git://github.com/SM64-TAS-ABC/STROOP.git,22,162,C#,430538,0.9997828877196788,4747664,7384,Development,D:\DataCollection\repos\SM64-TAS-ABC_STROOP,,14
microsoft/WindowsProtocolTestSuites,https://github.com/microsoft/WindowsProtocolTestSuites,git://github.com/microsoft/WindowsProtocolTestSuites.git,224,482,C#,430511,0.9836946118373436,242930346,4793,main,D:\DataCollection\repos\microsoft_WindowsProtocolTestSuites,,43
lindexi/lindexi_gd,https://github.com/lindexi/lindexi_gd,git://github.com/lindexi/lindexi_gd.git,51,145,C#,429235,0.9463371629866,37126216,3190,master,D:\DataCollection\repos\lindexi_lindexi_gd,,4
OneYoungMean/Automatic-DynamicBone,https://github.com/OneYoungMean/Automatic-DynamicBone,git://github.com/OneYoungMean/Automatic-DynamicBone.git,123,961,C#,429177,0.8922112249148866,372657,353,master,D:\DataCollection\repos\OneYoungMean_Automatic-DynamicBone,,11
Esri/arcgis-maps-sdk-dotnet-samples,https://github.com/Esri/arcgis-maps-sdk-dotnet-samples,git://github.com/Esri/arcgis-maps-sdk-dotnet-samples.git,506,370,C#,422337,0.951135210713659,6195768,2767,main,D:\DataCollection\repos\Esri_arcgis-maps-sdk-dotnet-samples,,22
svenhb/GRBL-Plotter,https://github.com/svenhb/GRBL-Plotter,git://github.com/svenhb/GRBL-Plotter.git,164,553,C#,420167,0.977449991590767,3684660,2142,master,D:\DataCollection\repos\svenhb_GRBL-Plotter,,4
mosa/MOSA-Project,https://github.com/mosa/MOSA-Project,git://github.com/mosa/MOSA-Project.git,83,385,C#,419248,0.9989846998850456,7441466,6908,master,D:\DataCollection\repos\mosa_MOSA-Project,,11
dotnet/aspnetcore,https://github.com/dotnet/aspnetcore,git://github.com/dotnet/aspnetcore.git,9380,32682,C#,417269,0.913557789329462,55913887,52355,main,D:\DataCollection\repos\dotnet_aspnetcore,,9
googleapis/google-cloud-dotnet,https://github.com/googleapis/google-cloud-dotnet,git://github.com/googleapis/google-cloud-dotnet.git,381,872,C#,413063,0.9998156093775176,379152180,10370,main,,failed: Failed to clone googleapis/google-cloud-dotnet!,37
figormartins/pokemon,https://github.com/figormartins/pokemon,git://github.com/figormartins/pokemon.git,10,111,C#,411386,0.6230523086396674,56661,68,master,D:\DataCollection\repos\figormartins_pokemon,,82
riperiperi/FreeSO,https://github.com/riperiperi/FreeSO,git://github.com/riperiperi/FreeSO.git,84,750,C#,405630,0.7463765819158487,13775733,1959,master,D:\DataCollection\repos\riperiperi_FreeSO,,15
simon-knuth/scanner,https://github.com/simon-knuth/scanner,git://github.com/simon-knuth/scanner.git,20,358,C#,405601,1.0,853797,496,main,D:\DataCollection\repos\simon-knuth_scanner,,1
lunadream/XWall,https://github.com/lunadream/XWall,git://github.com/lunadream/XWall.git,35,132,C#,405301,0.680473073420559,174853,373,master,D:\DataCollection\repos\lunadream_XWall,,3
Mutagen-Modding/Mutagen,https://github.com/Mutagen-Modding/Mutagen,git://github.com/Mutagen-Modding/Mutagen.git,27,91,C#,404715,1.0,130312781,4195,dev,D:\DataCollection\repos\Mutagen-Modding_Mutagen,,4
PokemonUnity/PokemonUnity,https://github.com/PokemonUnity/PokemonUnity,git://github.com/PokemonUnity/PokemonUnity.git,449,1559,C#,403365,0.9493905984466512,1689939,1527,master,D:\DataCollection\repos\PokemonUnity_PokemonUnity,,5
hecomi/MMD4Mecanim-LipSync-Plugin,https://github.com/hecomi/MMD4Mecanim-LipSync-Plugin,git://github.com/hecomi/MMD4Mecanim-LipSync-Plugin.git,35,141,C#,399035,1.0,53517,62,master,D:\DataCollection\repos\hecomi_MMD4Mecanim-LipSync-Plugin,,13
BlueMystical/EDHM_UI,https://github.com/BlueMystical/EDHM_UI,git://github.com/BlueMystical/EDHM_UI.git,13,138,C#,397677,0.982912357727878,1114888,528,main,D:\DataCollection\repos\BlueMystical_EDHM_UI,,18
OptiKey/OptiKey,https://github.com/OptiKey/OptiKey,git://github.com/OptiKey/OptiKey.git,522,4193,C#,397521,0.9652567290227868,2339402,3594,main,D:\DataCollection\repos\OptiKey_OptiKey,,23
head-first-csharp/fourth-edition,https://github.com/head-first-csharp/fourth-edition,git://github.com/head-first-csharp/fourth-edition.git,246,753,C#,392657,0.9009265789061276,459905,270,master,D:\DataCollection\repos\head-first-csharp_fourth-edition,,21
microsoft/PTVS,https://github.com/microsoft/PTVS,git://github.com/microsoft/PTVS.git,727,2476,C#,390317,0.892491185540139,11836991,9715,main,D:\DataCollection\repos\microsoft_PTVS,,4
hprose/hprose-dotnet,https://github.com/hprose/hprose-dotnet,git://github.com/hprose/hprose-dotnet.git,97,376,C#,388066,1.0,1491950,1068,master,D:\DataCollection\repos\hprose_hprose-dotnet,,1
asheigithub/apple-juice-actionscript,https://github.com/asheigithub/apple-juice-actionscript,git://github.com/asheigithub/apple-juice-actionscript.git,22,141,C#,385711,0.7633334067956298,3325062,266,master,D:\DataCollection\repos\asheigithub_apple-juice-actionscript,,8
Unity-Technologies/com.unity.probuilder,https://github.com/Unity-Technologies/com.unity.probuilder,git://github.com/Unity-Technologies/com.unity.probuilder.git,77,274,C#,385120,0.97437557152148,3173208,6181,master,D:\DataCollection\repos\Unity-Technologies_com.unity.probuilder,,8
jpush/jpush-unity3d-plugin,https://github.com/jpush/jpush-unity3d-plugin,git://github.com/jpush/jpush-unity3d-plugin.git,55,109,C#,384893,0.6076404534089604,137554,309,master,D:\DataCollection\repos\jpush_jpush-unity3d-plugin,,4
dropbox/dropbox-sdk-dotnet,https://github.com/dropbox/dropbox-sdk-dotnet,git://github.com/dropbox/dropbox-sdk-dotnet.git,470,323,C#,384712,0.9915690933234862,24849013,306,main,D:\DataCollection\repos\dropbox_dropbox-sdk-dotnet,,2
Sohojoe/ActiveRagdollStyleTransfer,https://github.com/Sohojoe/ActiveRagdollStyleTransfer,git://github.com/Sohojoe/ActiveRagdollStyleTransfer.git,21,142,C#,382753,0.726392345367561,639218,108,master,D:\DataCollection\repos\Sohojoe_ActiveRagdollStyleTransfer,,29
chummer5a/chummer5a,https://github.com/chummer5a/chummer5a,git://github.com/chummer5a/chummer5a.git,314,587,C#,382163,0.955032561054838,21496189,10025,master,D:\DataCollection\repos\chummer5a_chummer5a,,11
SciSharp/TensorFlow.NET,https://github.com/SciSharp/TensorFlow.NET,git://github.com/SciSharp/TensorFlow.NET.git,484,2934,C#,380579,0.9926500160289105,11921280,2357,master,D:\DataCollection\repos\SciSharp_TensorFlow.NET,,32
Duion/Uebergame,https://github.com/Duion/Uebergame,git://github.com/Duion/Uebergame.git,29,110,C#,378084,0.8179986927131488,4208609,327,master,D:\DataCollection\repos\Duion_Uebergame,,70
mixandjam/FFVII-TacticalMode,https://github.com/mixandjam/FFVII-TacticalMode,git://github.com/mixandjam/FFVII-TacticalMode.git,54,139,C#,377762,0.6080926125255366,138411,19,master,D:\DataCollection\repos\mixandjam_FFVII-TacticalMode,,15
